FEEDER_ID,FROM_DT,TO_DATE,IMP,EXP,BASIS,HOLD,ENTRY_DT,LOGIN,REMARK,BK_IMP,BK_EXP,METERNO,USER_IP,I_READ_DT,F_READ_DT,EXP_IREAD,EXP_FREAD,IMP_IREAD,IMP_FREAD,MF,DIVISION
SKKRI326,2023-01-01,2023-01-31,0,0.7805,D ,N,2023-02-14T13:50:53,nphg,LOAD BASIS,,,29950239,10.125.68.150,,,,,,,40000,2540
SALKN101,2023-01-01,2023-01-31,0,0.2368,D ,N,2023-02-13T19:07:47,nphg,LOAD BASIS,,,29950311,10.125.68.150,,,,,,,8000,2510
SALKN112,2023-01-01,2023-01-31,0,0.0029,D ,N,2023-02-13T19:09:34,nphg,LOAD BASIS,,,29950304,10.125.68.150,,,,,,,600,2510
SNZMD124,2023-01-01,2023-01-31,0,0.7343,D ,N,2023-02-10T18:32:32,nphg,METER CHANGE,,,29955465,10.125.68.150,,,,,,,8000,2540
SADCN112,2023-01-01,2023-01-31,0,0.5087,D ,N,2023-02-14T13:36:50,nphg,LOAD BASIS,,,29955251,10.125.68.150,,,,,,,8000,2520
SKKRI105,2023-01-01,2023-01-31,0,1.014,D ,N,2023-02-14T13:43:18,nphg,LOAD BASIS,,,29955411,10.125.68.150,,,,,,,8000,2542
SKKRI324,2023-01-01,2023-01-31,0,0.9236,D ,N,2023-02-14T13:50:10,nphg,LOAD BASIS,,,29950236,10.125.68.150,,,,,,,40000,2540
SPLAP113,2023-01-01,2023-01-31,0,0,D ,N,2023-02-13T14:19:10,nphg,LOAD BASIS,,,21001402,10.125.68.150,,,,,,,40000,2521
SNZMD109,2023-01-01,2023-01-31,0,0.8449,D ,N,2023-02-10T18:29:51,nphg,METER CHANGE,,,29955463,10.125.68.150,,,,,,,8000,2540
SPLAP118,2023-01-01,2023-01-31,0,0.763,D ,N,2023-02-13T14:18:43,nphg,LOAD BASIS,,,21002194,10.125.68.150,,,,,,,40000,2521
SALKN105,2023-01-01,2023-01-31,0,0.6021,D ,N,2023-02-13T19:08:02,nphg,LOAD BASIS,,,29950382,10.125.68.150,,,,,,,8000,2510
SALKN108,2023-01-01,2023-01-31,0,0.629,D ,N,2023-02-13T19:08:15,nphg,LOAD BASIS,,,29950317,10.125.68.150,,,,,,,8000,2510
SNZMD113,2023-01-01,2023-01-31,0,0.4475,D ,N,2023-02-10T18:30:47,nphg,METER CHANGE,,,29955473,10.125.68.150,,,,,,,8000,2540
SNZMD104,2023-01-01,2023-01-31,0,0.3166,D ,N,2023-02-10T18:28:44,nphg,METER CHANGE,,,29955506,10.125.68.150,,,,,,,8000,2540
SPLAP120,2023-01-01,2023-01-31,0,1.0501,D ,N,2023-02-13T14:19:21,nphg,LOAD BASIS,,,21004035,10.125.68.150,,,,,,,40000,2521
SPLAP116,2023-01-01,2023-01-31,0,0.0154,D ,N,2023-02-13T14:19:33,nphg,LOAD BASIS,,,21001262,10.125.68.150,,,,,,,6000,2521
WPSCP329,2023-01-01,2023-01-31,2.4054,0,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950171,10.125.126.50,2022-12-31T23:50:40,2023-01-31T23:50:13,0.003,0.003,311.734,331.779,120000,
WPSCP330,2023-01-01,2023-01-31,2.7503,0,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950172,10.125.126.50,2022-12-31T23:49:30,2023-01-31T23:49:02,0.001,0.001,345.951,368.87,120000,
WPSCP320,2023-01-01,2023-01-31,8.8872,0,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950174,10.125.126.50,2022-12-31T23:46:01,2023-01-31T23:45:32,0.005,0.005,235.56,272.59,240000,
WPSCP318,2023-01-01,2023-01-31,0,0,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950175,10.125.126.50,2022-12-31T23:49:07,2023-01-31T23:48:39,0.044,0.044,15.228,15.228,240000,
WBNDP129,2023-01-01,2023-01-31,0,0.574,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950186,10.125.126.50,2022-12-31T23:47:05,2023-01-31T23:46:36,115.312,129.662,0.002,0.002,40000,2661
WBNDP127,2023-01-01,2023-01-31,0,0.7482,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950187,10.125.126.50,2022-12-31T23:46:21,2023-01-31T23:45:52,164.203,182.907,0.001,0.001,40000,2651
WBNDP131,2023-01-01,2023-01-31,0,0.6212,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950188,10.125.126.50,2022-12-31T23:47:50,2023-01-31T23:47:21,118.913,134.444,0.001,0.001,40000,2661
WPNRD321,2023-01-01,2023-01-31,0.0017,0,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950189,10.125.126.50,2022-12-31T23:45:42,2023-01-31T23:45:58,15.101,15.101,1.58,1.587,240000,
WBNDP125,2023-01-01,2023-01-31,0,0.4846,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950190,10.125.126.50,2022-12-31T23:45:58,2023-01-31T23:45:29,92.329,104.444,0.001,0.001,40000,2651
WBDL1115,2023-01-01,2023-01-31,0,0.3064,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950211,10.125.126.50,2022-12-31T23:48:45,2023-01-31T23:48:15,167.508,175.168,0.001,0.001,40000,2650
WBDL1106,2023-01-01,2023-01-31,0,0.6259,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950212,10.125.126.50,2022-12-31T23:46:01,2023-01-31T23:45:32,259.082,274.729,0.001,0.001,40000,2641
WBDL1108,2023-01-01,2023-01-31,0,0.3699,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950213,10.125.126.50,2022-12-31T23:48:21,2023-01-31T23:47:52,179.186,188.434,0.002,0.002,40000,2650
WBDL1619,2023-01-01,2023-01-31,0.0418,0.2467,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950214,10.125.126.50,2022-12-31T23:45:38,2023-01-31T23:45:08,1.263,1.777,13.19,13.277,480000,
WBDL1622,2023-01-01,2023-01-31,0.3734,0,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950215,10.125.126.50,2022-12-31T23:46:48,2023-01-31T23:46:18,0.159,0.159,36.137,36.915,480000,
SABAG119,2023-01-01,2023-01-31,0,0.3153,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950216,10.125.126.50,2022-12-31T23:45:58,2023-01-31T23:45:28,211.477,219.36,0.008,0.008,40000,2521
SMMOT314,2023-01-01,2023-01-31,0,0,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950217,10.125.126.50,2022-12-31T23:48:43,2023-01-31T23:48:14,0,0,0.001,0.001,240000,
SKKRI313,2023-01-01,2023-01-31,4.278,0.001,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950219,10.125.126.50,2022-12-31T23:46:47,2023-01-31T23:49:11,0.013,0.017,398.709,416.534,240000,
SABAG115,2023-01-01,2023-01-31,0,0.6399,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950220,10.125.126.50,2022-12-31T23:47:05,2023-01-31T23:46:35,281.449,297.446,0.001,0.001,40000,2521
WBDL1620,2023-01-01,2023-01-31,0.1925,0.3211,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950221,10.125.126.50,2022-12-31T23:46:01,2023-01-31T23:45:31,0.356,1.025,31.843,32.244,480000,
WBDL1127,2023-01-01,2023-01-31,0,0.7664,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950222,10.125.126.50,2022-12-31T23:47:11,2023-01-31T23:46:42,246.091,265.25,0.001,0.001,40000,2641
WBDL1124,2023-01-01,2023-01-31,0,1.522,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950223,10.125.126.50,2022-12-31T23:47:58,2023-01-31T23:47:28,366.004,404.054,0.014,0.014,40000,2650
WBDL1126,2023-01-01,2023-01-31,0,0.6609,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950224,10.125.126.50,2022-12-31T23:46:48,2023-01-31T23:46:18,290.435,306.958,0.001,0.001,40000,2641
WBDL1621,2023-01-01,2023-01-31,13.5804,0,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950225,10.125.126.50,2022-12-31T23:46:24,2023-01-31T23:45:55,0.007,0.007,232.734,255.368,600000,
WBDL1123,2023-01-01,2023-01-31,0,0.795,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950226,10.125.126.50,2022-12-31T23:47:34,2023-01-31T23:47:05,280.78,300.655,0.001,0.001,40000,2610
SJASL627,2023-01-01,2023-01-31,0.036,2.0802,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950227,10.125.126.50,2022-12-31T23:54:41,2023-01-31T23:51:37,23.374,26.841,14.727,14.787,600000,
SJASL323,2023-01-01,2023-01-31,0,5.8831,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950228,10.125.126.50,2022-12-31T23:45:37,2023-01-31T23:45:08,442.907,467.42,0.003,0.003,240000,
SJASL129,2023-01-01,2023-01-31,0,0.621,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950229,10.125.126.50,2022-12-31T23:48:44,2023-01-31T23:48:14,211.871,227.397,0.029,0.029,40000,2542
SMMOT122,2023-01-01,2023-01-31,0,0.562,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950230,10.125.126.50,2022-12-31T23:45:37,2023-01-31T23:45:06,189.852,203.901,0.001,0.001,40000,2520
WBDL2143,2023-01-01,2023-01-31,0,0.8134,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950231,10.125.126.50,2022-12-31T23:46:47,2023-01-31T23:46:18,288.315,308.649,0.001,0.001,40000,2650
WBDL2144,2023-01-01,2023-01-31,0,0.0178,D ,N,2023-02-01T09:54:53,nphg,METER REVERSE,0.0178,0,29950232,10.125.126.50,2022-12-31T23:47:10,2023-01-31T23:46:41,0.087,0.087,5.278,5.722,40000,2650
WBDL2129,2023-01-01,2023-01-31,0,0.8188,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950233,10.125.126.50,2022-12-31T23:46:00,2023-01-31T23:45:31,550.482,570.953,0.001,0.001,40000,2650
WBNDP132,2023-01-01,2023-01-31,0,0.5364,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950246,10.125.126.50,2022-12-31T23:48:12,2023-01-31T23:47:43,156.943,170.353,0.001,0.001,40000,2651
WMITR123,2023-01-01,2023-01-31,3.7681,0,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950247,10.125.126.50,2022-12-31T23:45:36,2023-01-31T23:45:07,0,0,123.586,154.987,120000,
WMUKP321,2023-01-01,2023-01-31,6.2875,0,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950248,10.125.126.50,2022-12-31T23:45:59,2023-01-31T23:45:30,0,0,436.079,462.277,240000,
WMUKP320,2023-01-01,2023-01-31,6.4903,0,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950249,10.125.126.50,2022-12-31T23:45:36,2023-01-31T23:45:07,0,0,361.578,388.621,240000,
WMITR127,2023-01-01,2023-01-31,0,2.7132,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950250,10.125.126.50,2022-12-31T23:49:27,2023-01-31T23:48:59,26.853,38.158,0.969,0.969,240000,
SDCOL316,2023-01-01,2023-01-31,6.1884,0,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950251,10.125.126.50,2022-12-31T23:45:58,2023-01-31T23:45:26,0,0,337.922,363.707,240000,
SKLSH119,2023-01-01,2023-01-31,0,0.7828,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950252,10.125.126.50,2022-12-31T23:45:37,2023-01-31T23:45:04,238.595,258.166,0.003,0.003,40000,2530
SDCOL318,2023-01-01,2023-01-31,0.9276,0.1906,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950253,10.125.126.50,2022-12-31T23:45:36,2023-01-31T23:45:04,0.929,1.723,138.638,142.503,240000,
SALKN122,2023-01-01,2023-01-31,0,0.5582,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950254,10.125.126.50,2022-12-31T23:47:28,2023-01-31T23:46:58,122.782,136.737,0.001,0.001,40000,2510
SKLSH311,2023-01-01,2023-01-31,2.9222,0,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950255,10.125.126.50,2022-12-31T23:45:37,2023-01-31T23:45:04,0,0,264.967,277.143,240000,
SALKN327,2023-01-01,2023-01-31,4.7928,0.0818,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950257,10.125.126.50,2022-12-31T23:45:59,2023-01-31T23:45:30,0,0.341,178.417,198.387,240000,
SADCN316,2023-01-01,2023-01-31,1.1246,0.1879,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950258,10.125.126.50,2022-12-31T23:45:36,2023-01-31T23:45:04,7.272,8.055,101.557,106.243,240000,
SADCN318,2023-01-01,2023-01-31,0.8184,0,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950259,10.125.126.50,2022-12-31T19:45:57,2023-01-31T19:30:26,0,0,117.998,121.408,240000,
SALKN125,2023-01-01,2023-01-31,0,0.6566,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950260,10.125.126.50,2022-12-31T23:48:12,2023-01-31T23:47:43,122.916,139.33,0.006,0.006,40000,2510
WPSCP319,2023-01-01,2023-01-31,0,0.0005,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950261,10.125.126.50,2022-12-31T23:48:43,2023-01-31T23:48:16,37.816,37.818,12.67,12.67,240000,
WPSCP317,2023-01-01,2023-01-31,0,0,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950262,10.125.126.50,2022-12-31T23:50:17,2023-01-31T23:49:49,0,0,2.993,2.993,240000,
WPSCP316,2023-01-01,2023-01-31,3.9518,0,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950263,10.125.126.50,2022-12-31T23:45:37,2023-01-31T23:45:08,0.001,0.001,406.333,422.799,240000,
WPSCP331,2023-01-01,2023-01-31,2.4876,0,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950264,10.125.126.50,2022-12-31T23:49:53,2023-01-31T23:49:26,0,0,302.717,323.447,120000,
SALKN326,2023-01-01,2023-01-31,1.3978,0,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950265,10.125.126.50,2022-12-31T23:45:37,2023-01-31T23:45:07,0,0,158.757,164.581,240000,
SJASL128,2023-01-01,2023-01-31,0,0.0101,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950266,10.125.126.50,2022-12-31T23:51:49,2023-01-31T23:51:20,153.599,154.862,0.132,0.132,8000,2542
WBDL1111,2023-01-01,2023-01-31,0,0.7626,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950267,10.125.126.50,2022-12-31T23:50:17,2023-01-31T23:49:44,1636.845,1732.164,0.006,0.006,8000,2650
WBDL1101,2023-01-01,2023-01-31,0,0.3476,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950269,10.125.126.50,2022-12-31T23:49:07,2023-01-31T23:48:34,833.999,877.444,0.008,0.008,8000,2650
SMMOT104,2023-01-01,2023-01-31,0,0.2669,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950270,10.125.126.50,2022-12-31T23:51:10,2023-01-31T23:50:39,436.315,469.673,0.004,0.004,8000,2551
WBDL1104,2023-01-01,2023-01-31,0,0.0129,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950271,10.125.126.50,2022-12-31T23:46:01,2023-01-31T23:45:29,91.147,99.724,0.004,0.004,1500,2650
WBDL1113,2023-01-01,2023-01-31,0,0.7731,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950272,10.125.126.50,2022-12-31T23:48:44,2023-01-31T23:48:11,1276.621,1373.263,0.004,0.004,8000,2641
WBDL1129,2023-01-01,2023-01-31,0,0,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950273,10.125.126.50,2022-12-31T23:48:21,2023-01-31T23:47:48,0,0,0.004,0.004,8000,
WBDL1112,2023-01-01,2023-01-31,0,0.7794,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950274,10.125.126.50,2022-12-31T23:46:47,2023-01-31T23:46:16,1309.713,1407.137,0.015,0.019,8000,2650
WBDL1114,2023-01-01,2023-01-31,0,0.6574,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950275,10.125.126.50,2022-12-31T23:47:11,2023-01-31T23:46:39,1272.072,1354.246,0.009,0.01,8000,2650
SABAG113,2023-01-01,2023-01-31,0,0.926,R ,N,2023-02-01T09:54:53,ADMIN,,,,29950276,10.125.126.50,2022-12-31T23:49:19,2023-01-31T23:48:50,1685.443,1801.197,0.044,0.046,8000,2520
WUDNR103,2023-01-01,2023-01-31,0,0.8839,R ,N,2023-02-01T09:54:59,ADMIN,,,,22107512,10.125.126.50,2022-12-31T23:48:35,2023-01-31T23:49:42,4118.646,4229.138,59.3,59.3,8000,2630
SSAKT101,2023-01-01,2023-01-31,0.0002,0.3038,R ,N,2023-02-01T09:54:59,ADMIN,,,,22107146,10.125.126.50,2022-12-31T23:51:44,2023-01-31T23:51:18,3422.289,3460.259,1.185,1.206,8000,2510
SRKP2120,2023-01-01,2023-01-31,0,0.2078,R ,N,2023-02-01T09:54:59,ADMIN,,,,22108206,10.125.126.50,2022-12-31T23:49:46,2023-01-31T23:49:17,239.055,244.25,36.86,36.86,40000,2550
SVKIA132,2023-01-01,2023-01-31,0.0107,0.0144,R ,N,2023-02-01T09:54:59,ADMIN,,,,24490287,10.125.126.50,2022-12-31T23:52:05,2023-01-31T23:51:35,2.75,2.84,25.38,25.447,160000,
WJKPG110,2023-01-01,2023-01-31,0,0.986,R ,N,2023-02-01T09:54:59,ADMIN,,,,21001279,10.125.126.50,2022-12-31T23:50:21,2023-01-31T23:51:38,27839.914,27963.159,6.792,6.792,8000,2610
WMTLA138,2023-01-01,2023-01-31,0,0.4814,R ,N,2023-02-01T09:54:59,ADMIN,,,,22107320,10.125.126.50,2022-12-31T23:50:44,2023-01-31T23:51:51,1423.234,1435.269,0.118,0.118,40000,2661
WSGRP615,2023-01-01,2023-01-31,0.0091,0.9336,R ,N,2023-02-01T09:54:59,ADMIN,,,,12000087,10.125.126.50,2022-12-31T23:49:12,2023-01-31T23:50:22,1266.195,1268.14,2.166,2.185,480000,
SIGNO106,2023-01-01,2023-01-31,0,0.4231,R ,N,2023-02-01T09:54:59,ADMIN,,,,22108004,10.125.126.50,2022-12-31T23:53:39,2023-01-31T23:53:11,5791.428,5844.31,1.912,1.913,8000,2520
WCHAK327,2023-01-01,2023-01-31,7.2864,0,R ,N,2023-02-01T09:54:59,ADMIN,,,,22108243,10.125.126.50,2022-12-31T23:46:46,2023-01-31T23:47:53,30.36,30.36,730.373,760.733,240000,
WMDPR103,2023-01-01,2023-01-31,0,0.661,R ,N,2023-02-01T09:54:59,ADMIN,,,,21001245,10.125.126.50,2022-12-31T23:50:04,2023-01-31T23:51:20,16423.994,16506.618,5.085,5.085,8000,2640
WSGRP130,2023-01-01,2023-01-31,0,0.4973,R ,N,2023-02-01T09:54:59,ADMIN,,,,22108173,10.125.126.50,2022-12-31T23:48:31,2023-01-31T23:49:36,1050.386,1062.819,0.27,0.27,40000,2610
SBALA309,2023-01-01,2023-01-31,2.2754,0,R ,N,2023-02-01T09:54:59,ADMIN,,,,22107109,10.125.126.50,2022-12-31,2023-01-31T23:50:29,0.006,0.006,1454.97,1464.451,240000,
SVVHR109,2023-01-01,2023-01-31,0,0.4245,R ,N,2023-02-01T09:54:59,ADMIN,,,,21001330,10.125.126.50,2022-12-31T23:50:23,2023-01-31T23:50:00,17685.745,17738.804,0,0,8000,2550
WDLF2305,2023-01-01,2023-01-31,0.0029,0,R ,N,2023-02-01T09:54:59,ADMIN,,,,22108026,10.125.126.50,2022-12-31T23:49:37,2023-01-31T23:50:47,13.137,13.137,193.101,193.113,240000,
WMDPR113,2023-01-01,2023-01-31,0,0.7141,R ,N,2023-02-01T09:54:59,ADMIN,,,,21001241,10.125.126.50,2022-12-31T23:46:14,2023-01-31T23:47:27,16541.04,16630.299,13.533,13.533,8000,2640
SBWSN105,2023-01-01,2023-01-31,0,0.7109,R ,N,2023-02-01T09:54:59,ADMIN,,,,21001371,10.125.126.50,2022-12-31T23:52:32,2023-01-31T23:52:07,41351.166,41440.034,330.735,330.735,8000,2521
SCDOT112,2023-01-01,2023-01-31,0,1.3298,D ,N,2023-02-01T09:54:59,nphg,meter slow,0,1.0167,22107126,10.125.126.50,2022-12-31T23:53:31,2023-01-31T23:53:03,7207.636,7233.054,0.805,0.805,40000,2520
WHAST120,2023-01-01,2023-01-31,0,0.9486,R ,N,2023-02-01T09:55:00,ADMIN,,,,22108103,10.125.126.50,2022-12-31T23:47:49,2023-01-31T23:48:58,1633.031,1656.746,0.237,0.237,40000,2652
WSGRP101,2023-01-01,2023-01-31,0,0.1973,R ,N,2023-02-01T09:55:00,ADMIN,,,,22107012,10.125.126.50,2022-12-31T23:49:37,2023-01-31T23:50:43,3285.023,3309.68,0.546,0.546,8000,2610
SITPO109,2023-01-01,2023-01-31,0,0.3782,R ,N,2023-02-01T09:55:00,ADMIN,,,,24490001,10.125.126.50,2022-12-31T23:49:44,2023-01-31T23:49:17,805.559,852.834,185.412,185.413,8000,2540
SBALA113,2023-01-01,2023-01-31,0,0.511,R ,N,2023-02-01T09:55:00,ADMIN,,,,22107104,10.125.126.50,2022-12-31T23:52:29,2023-01-31T23:51:59,1727.963,1740.738,0.295,0.295,40000,2530
WA4PV102,2023-01-01,2023-01-31,0,0.4684,R ,N,2023-02-01T09:55:00,ADMIN,,,,22301292,10.125.126.50,2022-12-31T23:50:18,2023-01-31T23:51:27,1976.038,1987.747,0.059,0.059,40000,2640
WNNGL107,2023-01-01,2023-01-31,0,0.7642,R ,N,2023-02-01T09:55:00,ADMIN,,,,24490410,10.125.126.50,2022-12-31T23:48:47,2023-01-31T23:49:53,4699.701,4795.228,0.735,0.735,8000,2630
WZAFF105,2023-01-01,2023-01-31,0,0.9739,R ,N,2023-02-01T09:55:00,ADMIN,,,,22107158,10.125.126.50,2022-12-31T23:48:42,2023-01-31T23:49:50,4221.996,4343.732,8.936,8.936,8000,2621
WG4PN118,2023-01-01,2023-01-31,0,0.3148,R ,N,2023-02-01T09:55:00,ADMIN,,,,22108031,10.125.126.50,2022-12-31T23:51:30,2023-01-31T23:52:39,654.445,662.316,11.196,11.196,40000,2661
SVKGB614,2023-01-01,2023-01-31,0.001,0,R ,N,2023-02-01T09:55:00,ADMIN,,,,24490171,10.125.126.50,2022-12-31T23:49:18,2023-01-31T23:48:48,0.186,0.186,326.692,326.694,480000,
WA43M131,2023-01-01,2023-01-31,0.0002,0,R ,N,2023-02-01T09:55:00,ADMIN,,,,52760715,10.125.126.50,2022-12-31T23:49:39,2023-01-31T23:49:10,0.019,0.019,0.28,0.284,40000,
WG1PN108,2023-01-01,2023-01-31,0,0.6163,R ,N,2023-02-01T09:55:00,ADMIN,,,,52176472,10.125.126.50,2022-12-31T23:47:02,2023-01-31T23:48:09,883.79,899.198,0.154,0.154,40000,2661
WZAFF101,2023-01-01,2023-01-31,0,0.664,R ,N,2023-02-01T09:55:00,ADMIN,,,,22107187,10.125.126.50,2022-12-31T23:48:14,2023-01-31T23:49:20,2470.279,2553.285,0.958,0.958,8000,2621
SJNUG116,2023-01-01,2023-01-31,0,0.012,R ,N,2023-02-01T09:55:00,ADMIN,,,,24490318,10.125.126.50,2022-12-31T23:51:51,2023-01-31T23:51:21,72.257,73.763,0.345,0.345,8000,2551
WBNDP605,2023-01-01,2023-01-31,0,0.6115,R ,N,2023-02-01T09:55:00,ADMIN,,,,29950629,10.125.126.50,2022-12-31T23:49:18,2023-01-31T23:48:50,100.369,115.657,0.001,0.001,40000,2651
WPNRD602,2023-01-01,2023-01-31,10.9642,0,R ,N,2023-02-01T09:55:00,ADMIN,,,,29950641,10.125.126.50,2022-12-31T23:47:11,2023-01-31T23:47:27,0,0,128.798,151.64,480000,
WBNDP609,2023-01-01,2023-01-31,0,0,R ,N,2023-02-01T09:55:00,ADMIN,,,,29950644,10.125.126.50,2022-12-31T23:48:56,2023-01-31T23:48:28,0,0,0.001,0.001,40000,
WBNDP104,2023-01-01,2023-01-31,0,0.4168,R ,N,2023-02-01T09:55:00,ADMIN,,,,29950645,10.125.126.50,2022-12-31T23:47:05,2023-01-31T23:46:36,90.963,101.383,0.001,0.001,40000,2651
WPSCP334,2023-01-01,2023-01-31,0,0,R ,N,2023-02-01T09:55:00,ADMIN,,,,29950691,10.125.126.50,2022-12-31T23:46:24,2023-01-31T23:45:55,0,0,0.001,0.001,40000,
WPSCP339,2023-01-01,2023-01-31,0,0,R ,N,2023-02-01T09:55:00,ADMIN,,,,29950692,10.125.126.50,2022-12-31T23:50:52,2023-01-31T23:50:23,0,0,0.002,0.002,40000,
WPSCP338,2023-01-01,2023-01-31,0,0.6777,D ,N,2023-02-01T09:55:00,nphg,METER SLOW,0,0.2221,29950693,10.125.126.50,2022-12-31T23:50:28,2023-01-31T23:50:00,11.47,17.023,0.001,0.001,40000,2640
